user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
elonmusk,@chriskatje @unusual_whales Ligma &amp; Johnson are welcome back anytime,32141,1459,2022-11-15,ligma amp johnson are welcome back anytime,0.4,0.45
elonmusk,@unusual_whales I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,288646,19211,2022-11-15,i would like apologize firing these geniuses their immense talent will no doubt be great use elsewhere,0.4,0.875
elonmusk,@MuskUniversity (cue Obama giving himself a medal meme),4729,248,2022-11-15,cue obama giving himself medal meme,0.0,0.0
elonmusk,@MuskUniversity Exactly,12991,581,2022-11-15,exactly,0.25,0.25
elonmusk,@schrep Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,2410,110,2022-11-15,server control team knows because they stop working time time that s why they have critical 40 list,0.0,0.8
elonmusk,"@schrep True. Server side can (and has been) brute-forced, but that can’t solve weak Internet connections &amp; older phones.

Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",2304,148,2022-11-15,true server side can has been brute forced but that can t solve weak internet connections amp older phones worth noting that twitter india amp many other countries is slow even latest iphone,0.07962962962962962,0.45370370370370366
elonmusk,"@WholeMarsBlog Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",126544,8343,2022-11-15,starlink is rebuilding internet space so maybe i know slightly more than some guy who wrote code website,0.5,0.5
elonmusk,"@schrep There are ~1200 “microservices” server side, of which ~40 are critical to Twitter working at all, according to server control team. 

Trimming down that 1200 number, reducing data usage, serialized trips &amp; simplifying app are all needed to improve speed of use.",2602,198,2022-11-15,there are 1200 microservices server side which 40 are critical twitter working at all according server control team trimming down that 1200 number reducing data usage serialized trips amp simplifying app are all needed improve speed use,-0.07777777777777779,0.5444444444444445
elonmusk,"@schrep Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not “claim”.

10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn’t work at all, especially on Android phones.

Only question is how much delay is due to bandwidth/latency/app.",20946,1563,2022-11-15,twitter is very slow india indonesia amp many other countries this is fact not claim 10 15 secs refresh homeline tweets is common sometimes it doesn t work at all especially android phones only question is how much delay is due bandwidth latency app,-0.030000000000000006,0.55875
elonmusk,@Umbisam Mr. Munger’s words are much appreciated,29994,1364,2022-11-15,mr munger s words are much appreciated,0.2,0.1
elonmusk,@mayemusk @Twitter @instagram @Fidias0 🤗,10886,477,2022-11-15,,0.0,0.0
elonmusk,@minliangtan @wlopwangling Malenia battle was next-level intense,3429,157,2022-11-15,malenia battle was next level intense,0.1,0.5
elonmusk,"@minliangtan @wlopwangling Yes, although it seemed almost impossible at times",3545,131,2022-11-15,yes although it seemed almost impossible at times,-0.6666666666666666,1.0
elonmusk,@waitbutwhy The ratings on this simulation are incredible,28584,1272,2022-11-15,ratings this simulation are incredible,0.9,0.9
elonmusk,@wlopwangling Definitely,25052,845,2022-11-15,definitely,0.0,0.5
elonmusk,@Popeska @sampullara Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,2833,191,2022-11-15,why is twitter unusably slow many countries seems odd that this would be bandwidth only,0.008333333333333325,0.5375
elonmusk,"@micsolana Yeah, I hate it",4286,156,2022-11-15,yeah i hate it,-0.8,0.9
elonmusk,"By the People,
For the People",233484,19048,2022-11-15,by people people,0.0,0.0
elonmusk,Twitter is All the News,413154,30371,2022-11-15,twitter is all news,0.0,0.0
elonmusk,"@NASASpaceflight Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",10235,791,2022-11-15,next 20 sec firing with max oxygen fill test autogenous pressurization possibly one more static fire then orbital launch attempt,0.18,0.6
elonmusk,@NASASpaceflight Test went well,24221,1094,2022-11-15,test went well,0.0,0.0
elonmusk,@ChrisJBakke @TrungTPhan @nytimes 🤩,8186,277,2022-11-15,,0.0,0.0
elonmusk,@_corywynn_ @TrungTPhan 🤣,2537,88,2022-11-15,,0.0,0.0
elonmusk,@TrungTPhan Why the puff piece @nytimes?,98846,8625,2022-11-15,why puff piece,0.0,0.0
elonmusk,@WholeMarsBlog Good question,10037,493,2022-11-14,good question,0.7,0.6000000000000001
elonmusk,@cb_doge Did seem a little Dr Evil tbh haha,60901,2214,2022-11-14,did seem little dr evil tbh haha,-0.32916666666666666,0.6
elonmusk,"@alexeheath This is an external analysis, not from Twitter. It is lower than Twitter’s published mDAU.",7526,266,2022-11-14,this is external analysis not twitter it is lower than twitter s published mdau,0.0,0.1
elonmusk,Sìì! https://t.co/Gj1wHytJxk,46051,3002,2022-11-14,s,0.0,0.0
elonmusk,@NASASpaceflight Full test duration of 14 engines,29633,1823,2022-11-14,full test duration 14 engines,0.35,0.55
elonmusk,Recent trend is promising https://t.co/0q7UdxSkbM,127455,8084,2022-11-14,recent trend is promising,0.1,0.375
elonmusk,@nichegamer @abhiharry726 @sampullara That’s what I said!,3856,142,2022-11-14,that s what i said,0.0,0.0
elonmusk,"@abhiharry726 @sampullara In some parts of the world, refresh takes 30 seconds",1753,83,2022-11-14,some parts world refresh takes 30 seconds,0.0,0.0
elonmusk,@Popeska @sampullara How many serial requests are made by app to refresh timeline?,2222,107,2022-11-14,how many serial requests are made by app refresh timeline,0.5,0.5
elonmusk,@sampullara And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,30664,2698,2022-11-14,we will finally stop adding what device tweet was written waste screen space amp compute below every tweet literally no one even knows why we did that,-0.1,0.5
elonmusk,@sampullara Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,9664,792,2022-11-14,part today will be turning off microservices bloatware less than 20 are actually needed twitter work,-0.08333333333333333,0.08333333333333334
